parent_uri,type,id,title,child
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Oeuvre,economics_from_works_on_socrates,Economics from Works on Socrates,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/1/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/2
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,2,2,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/2/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/3
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,3,3,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/3/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/4
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,4,4,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/4/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/5
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,5,5,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/5/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/6
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,6,6,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/6/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/7
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,7,7,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/7/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/8
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,8,8,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/8/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/9
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,9,9,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/9/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/10
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,10,10,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/10/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/11
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,11,11,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/11/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/12
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,12,12,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/12/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/13
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,13,13,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/13/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/14
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,14,14,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/14/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/15
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,15,15,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/15/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/16
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,16,16,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/16/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/17
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,17,17,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/17/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/18
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,18,18,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/18/1
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates,Chapter,1,1,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/19
http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1,Section,19,19,http://ns.inria.fr/zoomathia/Xenophon/economics_from_works_on_socrates/1/19/1
