parent_uri,type,id,title,child
http://ns.inria.fr/zoomathia/Strabo/geography,Book,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1
http://ns.inria.fr/zoomathia/Strabo/geography,Book,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/2
http://ns.inria.fr/zoomathia/Strabo/geography,Book,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/3
http://ns.inria.fr/zoomathia/Strabo/geography,Book,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/4
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/1
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/2
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/3
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/4
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/5
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/6
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/7
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/8
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/9
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/10
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/11
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/12
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/13
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/14
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/15
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/16
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/17
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/18
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/19
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/20
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/21
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/22
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/23
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,1,1,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/1/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/2/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,3,3,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/3/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,4,4,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/4/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,5,5,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/5/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,6,6,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/6/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,7,7,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/7/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,8,8,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/8/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,9,9,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/9/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,10,10,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/10/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,11,11,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/11/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,12,12,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/12/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,13,13,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/13/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,14,14,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/14/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,15,15,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/15/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,16,16,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/16/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,17,17,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/17/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,18,18,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/18/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,19,19,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/19/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,20,20,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/20/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,21,21,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/21/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,22,22,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/22/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1/1,Section,23,23,http://ns.inria.fr/zoomathia/Strabo/geography/1/1/23/text/1
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/1
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/2
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/3
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/4
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/5
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/6
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/7
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/8
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/9
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/10
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/11
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/12
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/13
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/14
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/15
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/16
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/17
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/18
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/19
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/20
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/21
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/22
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/23
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/24
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/25
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/26
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/27
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/28
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/29
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/30
http://ns.inria.fr/zoomathia/Strabo/geography/1,Chapter,2,2,http://ns.inria.fr/zoomathia/Strabo/geography/1/2/31
